   0.04736,   0.02011,   0.05429,  -0.01962,   0.01826,  -0.05103,   0.02473,   0.03627,  -0.02839,  -0.05334,  -0.01176,  -0.03809,  -0.03809,  -0.04779,  -0.02839,   0.01272,   0.05706,  -0.03347,  -0.04271,   0.05013,   0.01872,  -0.01038,  -0.02470,   0.00256,  -0.02747,   0.00625,   0.01687,   0.01410,  -0.02331,  -0.02008,  -0.02239,  -0.05287
  -0.03347,  -0.05795,  -0.05056,  -0.00992,  -0.01500,   0.01087,  -0.03163,   0.00071,   0.01734,  -0.01038,   0.01826,  -0.03763,   0.03396,  -0.02146,  -0.02008,   0.04597,   0.03212,   0.01041,   0.04459,  -0.01962,   0.05567,   0.02195,  -0.02193,  -0.05703,  -0.01546,   0.01410,   0.05198,  -0.02654,   0.03443,   0.02380,   0.02426,  -0.05334
   0.00117,   0.04875,   0.02426,  -0.00299,   0.01133,  -0.05103,  -0.04086,  -0.02978,   0.05013,   0.01780,   0.00440,   0.01641,  -0.05795,   0.04644,   0.01503,  -0.03347,   0.05059,   0.01179,  -0.03532,   0.01272,   0.04644,  -0.04410,   0.01503,   0.03027,  -0.02793,  -0.03255,   0.04921,  -0.05795,  -0.02932,  -0.05657,  -0.02008,  -0.05611
   0.01549,   0.01687,  -0.03902,  -0.01223,   0.02611,  -0.05103,  -0.03948,   0.00486,   0.05152,   0.02242,   0.03073,  -0.01084,   0.02195,  -0.02424,  -0.00022,   0.01918,  -0.05334,   0.02149,  -0.01592,  -0.00622,   0.04413,   0.04459,   0.03350,  -0.04872,   0.03812,  -0.02424,  -0.04225,   0.00025,  -0.02100,   0.04089,  -0.01500,  -0.02978
  -0.01176,  -0.05749,   0.04967,   0.00948,  -0.00853,  -0.05657,  -0.05380,   0.03212,  -0.03809,  -0.02146,   0.04089,  -0.03301,  -0.01684,   0.02426,  -0.00530,   0.00948,  -0.02701,  -0.05795,   0.02657,  -0.04317,   0.04967,  -0.05426,  -0.01407,  -0.03763,   0.00671,   0.01826,  -0.04133,   0.03443,  -0.05518,  -0.05010,   0.01087,  -0.04364
   0.05660,   0.03720,  -0.03440,  -0.01269,   0.03720,   0.05429,   0.03304,  -0.05795,   0.02796,   0.04782,   0.03165,  -0.01454,  -0.05380,  -0.00807,  -0.01084,  -0.05195,   0.05891,  -0.03855,  -0.01546,   0.01641,   0.03073,   0.02426,  -0.05287,  -0.02885,  -0.02239,   0.05845,  -0.05842,  -0.05611,  -0.00206,  -0.05703,   0.04228,   0.05383
  -0.01777,  -0.03855,  -0.04687,  -0.02239,   0.00209,  -0.05518,   0.03119,   0.03304,  -0.03163,  -0.00253,  -0.05795,  -0.04271,  -0.05703,  -0.00945,  -0.04641,  -0.04825,   0.01272,  -0.02239,  -0.03902,   0.03489,   0.05614,   0.00671,   0.01734,   0.03258,  -0.02932,   0.00440,   0.03443,   0.02565,   0.03812,   0.04551,   0.04274,  -0.01823
   0.02380,  -0.03301,   0.03720,  -0.00068,  -0.02146,   0.02011,   0.00995,  -0.05842,   0.03443,   0.03627,  -0.03163,  -0.03671,  -0.00530,  -0.01361,  -0.02377,   0.02565,   0.01687,  -0.02978,   0.02565,  -0.03440,   0.01410,   0.05752,   0.05475,   0.02242,   0.02380,  -0.04918,   0.02057,  -0.04456,   0.01226,   0.00348,   0.02473,   0.02519
   0.02565,  -0.01915,  -0.04779,   0.03443,  -0.01038,  -0.00253,   0.02888,  -0.05564,   0.03535,  -0.02377,   0.00810,  -0.02331,   0.05614,  -0.02424,   0.00810,   0.02519,  -0.05749,  -0.02239,   0.02242,  -0.01315,  -0.03578,   0.02750,  -0.04410,  -0.04825,   0.05336,   0.01549,   0.00440,  -0.00853,  -0.02701,  -0.05749,  -0.05472,   0.02242
  -0.03440,  -0.04918,   0.03396,  -0.03717,   0.04182,  -0.04872,  -0.01962,  -0.02285,  -0.05657,   0.03443,  -0.03532,  -0.03394,  -0.00576,   0.04875,   0.04736,  -0.00253,   0.02935,   0.05336,  -0.03578,   0.02380,  -0.01500,  -0.03855,   0.04875,   0.03627,   0.03489,   0.01318,   0.00256,  -0.02331,  -0.02701,   0.00440,  -0.00761,  -0.01454
